"","season","offense_completion_percentage","defense_completion_percentage","points_scored","points_allowed","score_differential"
"94",2002,49.3220338983051,0.604693140794224,262,417,-155
"95",2002,52.0388349514563,0.506216696269982,402,314,88
"96",2002,50.2879078694818,0.593080724876442,316,354,-38
"97",2002,56.5217391304348,0.533206831119545,379,397,-18
"98",2002,50.1968503937008,0.510452961672474,258,302,-44
"99",2002,52.6315789473684,0.574614065180103,281,379,-98
"100",2002,55.7324840764331,0.599164926931106,279,456,-177
"101",2002,57.4829931972789,0.551660516605166,344,320,24
"102",2002,48.0916030534351,0.560402684563758,217,329,-112
"103",2002,59.7337770382695,0.59016393442623,392,344,48
"104",2002,46.2437395659432,0.5936,306,451,-145
"105",2002,59.4728171334432,0.498263888888889,398,328,70
"106",2002,44.7619047619048,0.512773722627737,213,356,-143
"107",2002,63.5332252836305,0.572564612326044,349,313,36
"108",2002,53.2803180914513,0.563734290843806,328,315,13
"109",2002,57.936507936508,0.62,467,399,68
"110",2002,59.9118942731278,0.584,316,369,-53
"111",2002,57.3451327433628,0.580495356037152,333,367,-34
"112",2002,63.6225266362253,0.560777957860616,450,304,146
